GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_ke,restriction_type,governing_law
3819564,Kenya,,NATIONAL,,Streptocarpus teitensis,Protected / Regulated,species,Gesneriaceae,Taita Hills violet,,Endemic to Taita Hills. One of several critically threatened Saintpaulia species.,Streptocarpus,no,,Fully protected,Fully protected,WCMA 2013; CITES
2683713,Kenya,,NATIONAL,,Encephalartos hildebrandtii,Protected / Regulated,species,Zamiaceae,Mombasa Cycad,"Encephalartos hildebrandtii dentatus, Encephalartos hildebrandtii hildebrandtii, Encephalartos villosus hildebrandtii, Encephalartos villosus nobilis",Kenyan coastal cycad. All Encephalartos species on Appendix I.,Encephalartos,no,,Collection and trade prohibited,Fully protected,WCMA 2013; CITES
9606396,Kenya,,NATIONAL,,Ornithogalum,Protected / Regulated,genus,Asparagaceae,"Star Of Bethlehem, Star-of-bethlehems, star of Bethlehem, star-of-Bethlehem, star-of-Bethlehems","Albucea, Aspasia, Avonsera, Beryllis, Brizophile, Caruelia, Cathissa, Celsia, Eliokarmos, Eliokarnos, Elsiea, Eustachys, Fenelonia, Galtonia, Honorius, Ifuon, Lomaresis, Loncomelos, Loncoxis, Melomphis, Myanthe, Myogalum, Neopatersonia, Nicipe, Parthenostachys, Phaeocles, Raphelingia, Raxamaris, Tomoxis, Tritriela, Uropetalon, Virdika, Zahariadia, Honogalum",Bulb trade from Kenya regulated under CITES Appendix II.,Ornithogalum,no,,Trade regulated,Trade regulated by CITES permit,CITES; SPVA Cap.326
7792960,Kenya,,NATIONAL,,Allium vineale,Prohibited,species,Amaryllidaceae,"Crow Garlic, Crow garlic, False Garlic, Field Garlic, Stag Garlic, Wild Garlic, Wild Onion, crow garlic, false garlic, field garlic, stag garlic, wild garlic, wild onion","Allium affine, Allium arenarium, Allium arvense, Allium assimile, Allium campestre, Allium canadense, Allium compactum, Allium descendens, Allium guttatum compactum, Allium kochii, Allium laxiflorum, Allium littoreum, Allium margaritaceum bulbiferum, Allium margaritaceum compactum, Allium monspessulanum, Allium nitens, Allium purshii, Allium rilaense, Allium rotundum, Allium sphaerocephalon compactum, Allium sphaerocephalum, Allium subvineale, Allium vineale compactum, Allium vineale affine, Allium vineale asperiflorum, Allium vineale capsuliferum, Allium vineale kochii, Allium vineale purpureum, Allium vineale vineale, Allium vineale biceps, Allium vineale bulbiferum, Allium vineale descendens, Allium vineale laxiflorum, Allium vineale monspessulanum, Allium vineale multiflorum, Allium vineale multiplicatum, Allium vineale nitens, Allium vineale pratense, Allium vineale purshii, Allium vineale sylvaticum, Allium vineale typicum, Allium vineale virens, Getuonis vinealis, Porrum capitatum, Porrum vineale",Invasive weed that contaminates wheat and taints dairy products.,Allium,no,,Prohibited introduction; invasive weed,Prohibited introduction; invasive alien species,Plant Protection Act Cap.324
3088481,Kenya,,NATIONAL,,Tagetes minuta,Prohibited,species,Asteraceae,"Aztec marigold, Mexican marigold, Muster John Henry, Muster john henry, Southern Marigold, Southern marigold, Muster-John-Henry, Marigold, dwarf marigold, khakibush, little marigold, minute marigold, muster John Henry, southern marigold, stinking-Roger, wild marigold, Stinking Roger","Tagetes bonariensis, Tagetes glandulifera, Tagetes glandulosa, Tagetes montana, Tagetes porophyllum, Tagetes tinctoria",Invasive annual weed widespread in highland Kenya; allelopathic effects suppress native plants.,Tagetes,no,,Prohibited introduction; invasive weed,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324
2928509,Kenya,,NATIONAL,,Ipomoea,Prohibited,genus,Convolvulaceae,"Morning-glory, Morningglory, morning glory, morning-glories, morning-glory, morningglory, Morning-glories","Acmostemon, Adamboe, Amphione, Apopleumon, Batatas, Bombycospermum, Bonanox, Calboa, Calonyction, Calycanthemum, Calycantherum, Cleiemera, Cleiostoma, Clitocyamos, Coiladena, Convolvuloides, Decaloba, Diatrema, Diatremis, Dimerodiscus, Dimerodisus, Doxema, Elythrostamna, Euryloma, Exallosis, Exocroa, Exogonium, Fraxima, Gynoisa, Isypus, Kolofonia, Lariospermum, Latrienda, Legendrea, Leptocallis, Macrostemma, Marcellia, Melascus, Milhania, Mina, Modesta, Morenoa, Navipomoea, Neorthosis, Nil, Ornithosperma, Parasitipomaea, Parasitipomoea, Pentacrostigma, Pharbitis, Plesiagopus, Quamoclit, Quamoclita, Quamoclitia, Saccia, Stomadena, Tereietra, Tirtalia, Tremasperma, Turbina",Several Ipomoea species invasive in croplands and rangelands; smothers native vegetation.,Ipomoea,no,,Prohibited introduction; invasive weed,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324
7493935,Kenya,,NATIONAL,,Eucalyptus,Protected / Regulated,genus,Myrtaceae,"Gum, Gums, gum, gums","Aromadendron, Aromadendrum, Eucalypton, Eudesmia, Symphyomyrtus",Widely cultivated but ecologically invasive in riparian zones; high water consumption and allelopathy. NEMA restriction on planting near wetlands.,Eucalyptus,no,,Regulated; invasive in riparian zones,Regulated introduction; invasive alien species,EMCA 1999
6288592,Kenya,,NATIONAL,,Vangueriopsis shimbaensis,Protected / Regulated,species,Rubiaceae,Shimba Hills vangueria,,Kenya endemic; only 7 mature individuals known at one locality in Shimba Hills. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Vangueriopsis%20shimbaensis&searchType=species,Vangueriopsis,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Critically Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3066425,Kenya,,NATIONAL,,Euphorbia tanaensis,Protected / Regulated,species,Euphorbiaceae,Tana River euphorbia,,Kenya endemic; restricted to Tana River area. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Euphorbia%20tanaensis&searchType=species,Euphorbia,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Critically Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3063946,Kenya,,NATIONAL,,Euphorbia cussonioides,Protected / Regulated,species,Euphorbiaceae,Euphorbia cussonioides,,Among East Africa's rarest trees. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Euphorbia%20cussonioides&searchType=species,Euphorbia,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Critically Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3699610,Kenya,,NATIONAL,,Combretum tenuipetiolatum,Protected / Regulated,species,Combretaceae,Combretum tenuipetiolatum,,Coastal forest species; extremely restricted range. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Combretum%20tenuipetiolatum&searchType=species,Combretum,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Critically Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
5547585,Kenya,,NATIONAL,,Cola porphyrantha,Protected / Regulated,species,Malvaceae,Cola porphyrantha,,Coastal forest species; severely threatened by habitat loss. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Cola%20porphyrantha&searchType=species,Cola,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Critically Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3896540,Kenya,,NATIONAL,,Karomia gigas,Protected / Regulated,species,Lamiaceae,Karomia gigas,Holmskioldia gigas,Also found in Tanzania; fewer than 50 mature individuals remain. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Karomia%20gigas&searchType=species,Karomia,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Critically Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3662348,Kenya,,NATIONAL,,Sorindeia calantha,Protected / Regulated,species,Anacardiaceae,Sorindeia calantha,,Extremely rare coastal forest tree. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Sorindeia%20calantha&searchType=species,Sorindeia,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Critically Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3849915,Kenya,,NATIONAL,,Turraea elephantina,Protected / Regulated,species,Meliaceae,Turraea elephantina,,Kenya endemic; Meliaceae family. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Turraea%20elephantina&searchType=species,Turraea,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Critically Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3867919,Kenya,,NATIONAL,,Memecylon buxoides,Protected / Regulated,species,Melastomataceae,Memecylon buxoides,,Coastal forest tree with very restricted range. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Memecylon%20buxoides&searchType=species,Memecylon,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Critically Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
2905392,Kenya,,NATIONAL,,Ixora scheffleri,Protected / Regulated,subspecies,Rubiaceae,Ixora scheffleri subsp. keniensis,,Kenya endemic subspecies. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Ixora%20scheffleri&searchType=species,Ixora,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Critically Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
2925262,Kenya,,NATIONAL,,Pavetta tarennoides,Protected / Regulated,species,Rubiaceae,Pavetta tarennoides,,Among East Africa's rarest tree species. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Pavetta%20tarennoides&searchType=species,Pavetta,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Critically Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3081127,Kenya,,NATIONAL,,Meineckia ovata,Protected / Regulated,species,Phyllanthaceae,Meineckia ovata,"Meineckia ovata, Zimmermannia ovata",Among East Africa's rarest trees; Phyllanthaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Meineckia%20ovata&searchType=species,Meineckia,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Critically Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3904972,Kenya,,NATIONAL,,Vitex fischeri,Protected / Regulated,species,Lamiaceae,Meru Oak,,Kenya endemic; over-exploited for premium timber. Protected under Forest Act. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Vitex%20fischeri&searchType=species,Vitex,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
5547618,Kenya,,NATIONAL,,Cola octoloboides,Protected / Regulated,species,Malvaceae,Cola octoloboides,,Kenya endemic; functionally extinct at one site with only 1 individual. Dioecious — needs male and female for reproduction. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Cola%20octoloboides&searchType=species,Cola,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3066060,Kenya,,NATIONAL,,Euphorbia wakefieldii,Protected / Regulated,species,Euphorbiaceae,Wakefield's euphorbia,,Kenya endemic (Kwale County); held in 14 ex situ collections globally. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Euphorbia%20wakefieldii&searchType=species,Euphorbia,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
2966840,Kenya,,NATIONAL,,Cynometra lukei,Protected / Regulated,species,Fabaceae,Luke's cynometra,,Kenya endemic; coastal forest legume. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Cynometra%20lukei&searchType=species,Cynometra,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3874948,Kenya,,NATIONAL,,Ziziphus robertsoniana,Protected / Regulated,species,Rhamnaceae,Robertson's jujube,,Kenya endemic. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Ziziphus%20robertsoniana&searchType=species,Ziziphus,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
3850068,Kenya,,NATIONAL,,Turraea barbata,Protected / Regulated,species,Meliaceae,Turraea barbata,,Kenya endemic; Meliaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Turraea%20barbata&searchType=species,Turraea,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
5576098,Kenya,,NATIONAL,,Anisotes ukambensis,Protected / Regulated,species,Acanthaceae,Anisotes ukambensis,Anisotes ukambanensis,Kenya endemic; Acanthaceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Anisotes%20ukambensis&searchType=species,Anisotes,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
2953238,Kenya,,NATIONAL,,Bauhinia mombassae,Protected / Regulated,species,Fabaceae,Mombasa bauhinia,"Bauhinia loeseneriana, Bauhinia loesneriana, Pauletia loeseneriana",Kenya endemic; found at Kaya Rabai sacred forest. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Bauhinia%20mombassae&searchType=species,Bauhinia,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
11104253,Kenya,,NATIONAL,,Warneckea sansibarica,Protected / Regulated,species,Melastomataceae,Warneckea maritima,,Kenya endemic; Melastomataceae. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Warneckea%20sansibarica&searchType=species,Warneckea,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
8021703,Kenya,,NATIONAL,,Warneckea melindensis,Protected / Regulated,species,Melastomataceae,Warneckea melindensis,Memecylon melindense,Coastal species; restricted to Malindi area. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Warneckea%20melindensis&searchType=species,Warneckea,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + IUCN Red List: Endangered,Fully protected; regulated harvest,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework)
